codigo,cadeira,creditos,status
11100058,CÁLCULO 1,4,OBRIGATÓRIA
22000224,LÓGICA PARA COMPUTAÇÃO,4,OBRIGATÓRIA
22000225,INTRODUÇÃO A ENGENHARIA DE COMPUTAÇÃO,4,OBRIGATÓRIA
22000293,SISTEMAS DISCRETOS,4,OBRIGATÓRIA
22000294,ALGORITMOS E PROGRAMAÇÃO,4,OBRIGATÓRIA
11090032,FÍSICA BÁSICA I,4,OBRIGATÓRIA
11100005,ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,6,OBRIGATÓRIA
11100059,CÁLCULO 2,4,OBRIGATÓRIA
22000226,CIRCUITOS DIGITAIS I,4,OBRIGATÓRIA
22000296,PROGRAMAÇÃO DE COMPUTADORES,4,OBRIGATÓRIA
06730016,EPISTEMOLOGIA,2,OBRIGATÓRIA
11090033,FÍSICA BÁSICA II,4,OBRIGATÓRIA
11100060,CÁLCULO 3,6,OBRIGATÓRIA
22000197,LINGUAGENS FORMAIS,4,OBRIGATÓRIA
22000238,CIRCUITOS DIGITAIS II,4,OBRIGATÓRIA
22000297,ALGORITMOS E ESTRUTURAS DE DADOS I,4,OBRIGATÓRIA
11090034,FÍSICA BÁSICA III,4,OBRIGATÓRIA
11100050,EQUAÇÕES DIFERENCIAIS,4,OBRIGATÓRIA
22000181,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,OBRIGATÓRIA
22000201,PROGRAMAÇÃO ORIENTADA A OBJETOS,4,OBRIGATÓRIA
22000236,ANÁLISE DE CIRCUITOS I,4,OBRIGATÓRIA
22000299,ALGORITMOS E ESTRUTURAS DE DADOS II,4,OBRIGATÓRIA
22000182,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,OBRIGATÓRIA
22000199,METODOLOGIA CIENTÍFICA PARA COMPUTAÇÃO,4,OBRIGATÓRIA
22000205,TEORIA DA COMPUTAÇÃO,4,OBRIGATÓRIA
22000230,ELETRÔNICA BÁSICA I,4,OBRIGATÓRIA
22000237,PROGRAMAÇÃO DE SISTEMAS,4,OBRIGATÓRIA
22000298,ESTATÍSTICA BÁSICA PARA COMPUTAÇÃO,4,OBRIGATÓRIA
22000186,COMPUTAÇÃO E SOCIEDADE,4,OBRIGATÓRIA
22000267,ANÁLISE DE CIRCUITOS II,4,OBRIGATÓRIA
22000268,CÁLCULO NUMÉRICO COMPUTACIONAL,4,OBRIGATÓRIA
22000269,SISTEMAS DIGITAIS AVANÇADOS,4,OBRIGATÓRIA
22000270,SISTEMAS OPERACIONAIS,4,OBRIGATÓRIA
22000178,SISTEMAS E SINAIS,6,OBRIGATÓRIA
22000240,CONCEPÇÃO DE CIRCUITOS INTEGRADOS,4,OBRIGATÓRIA
22000271,ELETRÔNICA BÁSICA II,4,OBRIGATÓRIA
22000273,REDES DE COMPUTADORES,4,OBRIGATÓRIA
22000189,ENGENHARIA DE SOFTWARE I,4,OBRIGATÓRIA
22000272,INTROD PROCESSAMENTO PARALELO E DISTRIBUÍDO,4,OBRIGATÓRIA
22000303,PROJETO DE COMPILADORES,4,OBRIGATÓRIA
22000274,PRINCÍPIOS DE COMUNICAÇÃO,4,OBRIGATÓRIA
22000305,TRABALHO DE CONCLUSÃO DE CURSO I,8,OBRIGATÓRIA
22000275,SISTEMAS DE CONTROLE,4,OBRIGATÓRIA
22000306,TRABALHO DE CONCLUSÃO DE CURSO II,8,OBRIGATÓRIA
06560017,SOCIOLOGIA,2,OPTATIVA
08970093,EMPREENDEDORISMO,2,OPTATIVA
11090035,FÍSICA BÁSICA IV,4,OPTATIVA
11090036,FÍSICA BÁSICA EXPERIMENTAL I,2,OPTATIVA
11090038,FÍSICA BÁSICA EXPERIMENTAL II,2,OPTATIVA
20000084,LÍNGUA BRASILEIRA DE SINAIS I ( LIBRAS I ),4,OPTATIVA
20000262,LEITURA E PRODUÇÃO DE TEXTOS,4,OPTATIVA
22000188,CONCEITOS DE LINGUAGENS DE PROGRAMAÇÃO,4,OPTATIVA
22000193,GERÊNCIA DE PROJETOS,4,OPTATIVA
22000210,PROJETOS EM COMPUTAÇÃO IV,4,OPTATIVA
22000227,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II,4,OPTATIVA
22000228,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III,2,OPTATIVA
22000229,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV,4,OPTATIVA
22000231,SISTEMAS EMBARCADOS,4,OPTATIVA
22000241,INTERAÇÃO HUMANO-COMPUTADOR,4,OPTATIVA
22000242,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I,2,OPTATIVA
22000254,PROJETOS EM COMPUTAÇÃO II,4,OPTATIVA
22000255,PROCESSAMENTO DIGITAL DE IMAGENS,4,OPTATIVA
22000260,INFORMÁTICA INDUSTRIAL,4,OPTATIVA
22000264,PROJETOS EM COMPUTAÇÃO III,4,OPTATIVA
22000276,ANÁLISE DE CIRCUITOS III,4,OPTATIVA
22000277,CIRCUITOS INTEGRADOS ANALÓGICOS,4,OPTATIVA
22000278,FERRAMENTAS DE CAD,4,OPTATIVA
22000279,MICROCONTROLADORES,4,OPTATIVA
22000280,PROCESSAMENTO DIGITAL DE SINAIS,4,OPTATIVA
22000281,PROJETO DE SISTEMAS INTEGRADOS MISTOS,4,OPTATIVA
22000282,ROBÓTICA,4,OPTATIVA
22000283,SISTEMAS DE TEMPO REAL,4,OPTATIVA
22000286,ERGONOMIA E SEGURANÇA DO TRABALHO,2,OPTATIVA
22000300,ALGORITMOS E ESTRUTURAS DE DADOS III,4,OPTATIVA
22000301,FUNDAMENTOS DE INTELIGÊNCIA ARTIFICIAL,4,OPTATIVA
22000302,PROJETO DE BANCO DE DADOS,4,OPTATIVA
22000308,ARQUITETURA E ORGANIZAÇÃO COMPUT. AVANÇADOS,4,OPTATIVA
22000310,AVALIAÇÃO DE DESEMPENHO DE SISTEMAS,4,OPTATIVA
22000311,SEGURANÇA DE COMPUTADORES,4,OPTATIVA
22000312,INTELIGÊNCIA ARTIFICIAL AVANÇADA,4,OPTATIVA
22000313,COMPILADORES AVANÇADO,4,OPTATIVA
22000315,COMPUTAÇÃO FLEXÍVEL,4,OPTATIVA
22000317,ESPECIFICAÇÃO E VERIFICAÇÃO DE SISTEMAS,4,OPTATIVA
22000318,SISTEMAS DISTRIBUÍDOS E UBÍQUOS,4,OPTATIVA
22000319,PROJETOS EM COMPUTAÇÃO I,4,OPTATIVA
22000346,TÓPICOS ESPECIAIS EM COMPUTAÇÃO V,2,OPTATIVA
22000347,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI,2,OPTATIVA
22000348,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,4,OPTATIVA
22000349,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,4,OPTATIVA
22000350,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,4,OPTATIVA
22000351,TÓPICOS ESPECIAIS EM COMPUTAÇÃO X,4,OPTATIVA
